DATETIME,MEASURE:Units,MEASURE:Royalty Price,MEASURE:Customer Price,Vendor Identifier,Artist / Show,Title,Label/Studio/Network,Product Type Identifier,Order Id,Postal Code,Customer Identifier,Sale/Return,Customer Currency,Country Code,Royalty Currency,Asset/Content Flavor
9/27/13,1,1.4,1.99,0116_20121024_MOBZ_FORMIGUINHA,"Vera Fuzaro,Isabela G. Carvalho",Galinha Pintadinha 2 Formiguinha,Bromelia filminhos,M,8.30018E+13,78050-090,2190353934,S,USD,BR,USD,SD
9/29/13,1,3.49,4.99,0212_20132108_SOFA_FOXFIRE,"Raven Adamson,Madeleine Bisson,Katie Coseni",Foxfire: Confissﾌｵes de uma Gangue de Garotas,Canal+ France,D,3.60023E+13,31310-590,5051023574,S,USD,BR,USD,HD
9/29/13,1,2.09,2.99,0144_20121109_MOBZ_HEADHUNTERS,"Synnove Macody Lund,Nikolaj Coster-Waldau,Aksel Hennie",Headhunters,Yellow Bird,D,6.7002E+13,64055-280,7239508519,S,USD,BR,USD,HD
9/27/13,1,9,12.99,0148_20121205_MOBZ_OSOMAOREDOR,"W.J. Solha,Maeve Jinkings,Lula Terra,Irma Brown,Irandhir Santos,Gustavo Jahn",Neighbouring Sounds,Cinemascﾌ_pio,M,2.90023E+13,22471-003,2050071254,S,USD,BR,USD,HD
9/25/13,1,3.49,4.99,0201_20130705_SOFA_MARTELODOSDEUSES,"Theo Barklem-Biggs,Michael Lindall,Michael Jibson,James Cosmo,IVAN KAYE,Glynis Barber,Francis Magee,Finlay Robertson,Elliot Cowan,Clive Standen,Charlie Bewley,Alexandra Dowling",Martelo dos Deuses,Vertigo Filmes,D,8.50019E+13,60130-271,2912487664,S,USD,BR,USD,HD
9/23/13,1,2.09,2.99,0008_20120426_MOBZ_ASEPARACAO,"Shahab Hosseini,Sarina Farhadi,Sareh Bayat,Peyman Moadi,Leila Hatami",A Separaﾌ､ﾌ｣o,Asghar Farhadi,D,2.20028E+13,05586-060,5427892604,S,USD,BR,USD,HD
9/26/13,1,2.79,3.99,0197_20130705_SOFA_LOUCOSPORDINHEIRO,"Stephen Park,Michael Angarano,Lucy Walters,Juno Temple,Jack McBrayer,Debra Monk,Bobby Moynihan,Billy Magnussen,Ben Rappaport,Alia Shawkat,Alexis Bledel",Loucos por Dinheiro,Northern Light Films,D,3.70025E+13,14780-080,5313979089,S,USD,BR,USD,SD
9/26/13,1,2.99,4.99,0206_20130705_SOFA_ORETORNODODRAGAO,Jet Li,O Retorno do Dragﾌ｣o - A Cidade Perdida,Beijing Liangzi Group,D,2.60025E+13,89802-520,5444760624,S,USD,BR,USD,HD
9/29/13,1,14,19.99,0144_20121109_MOBZ_HEADHUNTERS,"Synnove Macody Lund,Nikolaj Coster-Waldau,Aksel Hennie",Headhunters,Yellow Bird,M,3.00025E+13,$,5465028044,S,USD,CL,USD,HD
9/27/13,1,3.49,4.99,0148_20121205_MOBZ_OSOMAOREDOR,"W.J. Solha,Maeve Jinkings,Lula Terra,Irma Brown,Irandhir Santos,Gustavo Jahn",Neighbouring Sounds,Cinemascﾌ_pio,D,9.20009E+13,01422-000,9031818654,S,USD,BR,USD,HD
